dsID,region,indID,period,value,is_number,source
fts,AFG,FY210,2010,477126235.0,1,""
fts,AFG,FY190,2011,21108674.0,1,""
fts,AFG,FY200,2011,0.0,1,""
fts,AFG,FY210,2011,401709788.0,1,""
fts,AFG,FY190,2012,31410680.0,1,""
fts,AFG,FY200,2012,0.0,1,""
fts,AFG,FY210,2012,191274739.0,1,""
fts,AFG,FY190,2013,91834618.0,1,""
fts,AFG,FY200,2013,7281198.0,1,""
fts,AFG,FY210,2013,235023688.0,1,""
fts,AFG,FY190,2014,74880058.0,1,""
fts,AFG,FY200,2014,165517.0,1,""
fts,AFG,FY210,2014,174601221.0,1,""
fts,AFG,FY190,2015,0.0,1,""
fts,AFG,FY200,2015,0.0,1,""
fts,AFG,FY210,2015,0.0,1,""
fts,AFG,FY240,1999,0.0,1,""
fts,AFG,FY360,1999,0.0,1,""
fts,AFG,FY370,1999,0.0,1,""
fts,AFG,FY380,1999,0.0,1,""
fts,AFG,FY500,1999,0.0,1,""
fts,AFG,FY510,1999,0.0,1,""
fts,AFG,FY520,1999,0.0,1,""
fts,AFG,FY540,1999,0.0,1,""
fts,AFG,FY550,1999,0.0,1,""
fts,AFG,FY620,1999,0.0,1,""
fts,AFG,FY630,1999,0.0,1,""
fts,AFG,FY240,2000,0.0,1,""
fts,AFG,FY360,2000,0.0,1,""
fts,AFG,FY370,2000,0.0,1,""
fts,AFG,FY380,2000,0.0,1,""
fts,AFG,FY500,2000,0.0,1,""
fts,AFG,FY510,2000,0.0,1,""
fts,AFG,FY520,2000,0.0,1,""
fts,AFG,FY540,2000,0.0,1,""
fts,AFG,FY550,2000,0.0,1,""
fts,AFG,FY620,2000,0.0,1,""
fts,AFG,FY630,2000,71617083.0,1,""
fts,AFG,FY240,2001,0.0,1,""
fts,AFG,FY360,2001,0.0,1,""
fts,AFG,FY370,2001,0.0,1,""
fts,AFG,FY380,2001,0.0,1,""
fts,AFG,FY500,2001,0.0,1,""
fts,AFG,FY510,2001,0.0,1,""
fts,AFG,FY520,2001,0.0,1,""
fts,AFG,FY540,2001,0.0,1,""
fts,AFG,FY550,2001,0.0,1,""
fts,AFG,FY620,2001,0.0,1,""
fts,AFG,FY630,2001,416971729.0,1,""
fts,AFG,FY240,2002,0.0,1,""
fts,AFG,FY360,2002,0.0,1,""
fts,AFG,FY370,2002,0.0,1,""
fts,AFG,FY380,2002,0.0,1,""
fts,AFG,FY500,2002,0.0,1,""
fts,AFG,FY510,2002,0.0,1,""
fts,AFG,FY520,2002,0.0,1,""
fts,AFG,FY540,2002,0.0,1,""
fts,AFG,FY550,2002,0.0,1,""
fts,AFG,FY620,2002,0.0,1,""
fts,AFG,FY630,2002,1225150074.0,1,""
fts,AFG,FY240,2003,0.0,1,""
fts,AFG,FY360,2003,0.0,1,""
fts,AFG,FY370,2003,0.0,1,""
fts,AFG,FY380,2003,0.0,1,""
fts,AFG,FY500,2003,0.0,1,""
fts,AFG,FY510,2003,0.0,1,""
fts,AFG,FY520,2003,0.0,1,""
fts,AFG,FY540,2003,0.0,1,""
fts,AFG,FY550,2003,0.0,1,""
fts,AFG,FY620,2003,0.0,1,""
fts,AFG,FY630,2003,450102098.0,1,""
fts,AFG,FY240,2004,0.0,1,""
fts,AFG,FY360,2004,0.0,1,""
fts,AFG,FY370,2004,0.0,1,""
fts,AFG,FY380,2004,0.0,1,""
fts,AFG,FY500,2004,0.0,1,""
fts,AFG,FY510,2004,0.0,1,""
fts,AFG,FY520,2004,0.0,1,""
fts,AFG,FY540,2004,0.0,1,""
fts,AFG,FY550,2004,0.0,1,""
fts,AFG,FY620,2004,0.0,1,""
fts,AFG,FY630,2004,158907052.0,1,""
fts,AFG,FY240,2005,0.0,1,""
fts,AFG,FY360,2005,0.0,1,""
fts,AFG,FY370,2005,0.0,1,""
fts,AFG,FY380,2005,0.0,1,""
fts,AFG,FY500,2005,0.0,1,""
fts,AFG,FY510,2005,0.0,1,""
fts,AFG,FY520,2005,0.0,1,""
fts,AFG,FY540,2005,0.0,1,""
fts,AFG,FY550,2005,0.0,1,""
fts,AFG,FY620,2005,0.0,1,""
fts,AFG,FY630,2005,83767532.0,1,""
fts,AFG,FY240,2006,31623868.0,1,""
fts,AFG,FY360,2006,0.124228845164165,1,""
fts,AFG,FY370,2006,0.183340085224624,1,""
fts,AFG,FY380,2006,0.0,1,""
fts,AFG,FY500,2006,0.0,1,""
fts,AFG,FY510,2006,0.0,1,""
fts,AFG,FY520,2006,0.0,1,""
fts,AFG,FY540,2006,0.0,1,""
fts,AFG,FY550,2006,0.0,1,""
fts,AFG,FY620,2006,31623868.0,1,""
fts,AFG,FY630,2006,172487473.0,1,""
fts,AFG,FY240,2007,6115166.0,1,""
fts,AFG,FY360,2007,0.0172322119952141,1,""
fts,AFG,FY370,2007,0.0350585485372916,1,""
fts,AFG,FY380,2007,0.0,1,""
fts,AFG,FY500,2007,0.0,1,""
fts,AFG,FY510,2007,0.0,1,""
fts,AFG,FY520,2007,0.0,1,""
fts,AFG,FY540,2007,0.0,1,""
fts,AFG,FY550,2007,0.0,1,""
fts,AFG,FY620,2007,6115166.0,1,""
fts,AFG,FY630,2007,174427244.0,1,""
fts,AFG,FY240,2008,18220644.0,1,""
fts,AFG,FY360,2008,0.0427354248813695,1,""
fts,AFG,FY370,2008,0.0309184075569709,1,""
fts,AFG,FY380,2008,0.0,1,""
fts,AFG,FY500,2008,0.0,1,""
fts,AFG,FY510,2008,0.0,1,""
fts,AFG,FY520,2008,0.0,1,""
fts,AFG,FY540,2008,0.0,1,""
fts,AFG,FY550,2008,0.0,1,""
fts,AFG,FY620,2008,18220644.0,1,""
fts,AFG,FY630,2008,589313792.0,1,""
fts,AFG,FY240,2009,4165567.0,1,""
fts,AFG,FY360,2009,0.0104748363725109,1,""
fts,AFG,FY370,2009,0.00608693223958622,1,""
fts,AFG,FY380,2009,0.0,1,""
fts,AFG,FY500,2009,0.0,1,""
fts,AFG,FY510,2009,0.0,1,""
fts,AFG,FY520,2009,0.0,1,""
fts,AFG,FY540,2009,0.0,1,""
fts,AFG,FY550,2009,0.0,1,""
fts,AFG,FY620,2009,4165567.0,1,""
fts,AFG,FY630,2009,684345880.0,1,""
fts,AFG,FY240,2010,11019952.0,1,""
fts,AFG,FY360,2010,0.0252945388001289,1,""
fts,AFG,FY370,2010,0.0148050111021475,1,""
fts,AFG,FY380,2010,4072560.0,1,""
fts,AFG,FY500,2010,0.0269149300690365,1,""
fts,AFG,FY510,2010,0.0054713755571859,1,""
fts,AFG,FY520,2010,0.0,1,""
fts,AFG,FY540,2010,0.0,1,""
fts,AFG,FY550,2010,0.0,1,""
fts,AFG,FY620,2010,15092512.0,1,""
fts,AFG,FY630,2010,744339327.0,1,""
fts,AFG,FY240,2011,0.0,1,""
fts,AFG,FY360,2011,0.0,1,""
fts,AFG,FY370,2011,0.0,1,""
fts,AFG,FY380,2011,3598761.0,1,""
fts,AFG,FY500,2011,0.0364926737131645,1,""
fts,AFG,FY510,2011,0.00403966744528767,1,""
fts,AFG,FY520,2011,0.0,1,""
fts,AFG,FY540,2011,0.0,1,""
fts,AFG,FY550,2011,0.0,1,""
fts,AFG,FY620,2011,3598761.0,1,""
fts,AFG,FY630,2011,890855757.0,1,""
fts,AFG,FY240,2012,9995396.0,1,""
fts,AFG,FY360,2012,0.0207816364260546,1,""
fts,AFG,FY370,2012,0.019447193090517,1,""
fts,AFG,FY380,2012,2954421.0,1,""
fts,AFG,FY500,2012,0.0405030546727716,1,""
fts,AFG,FY510,2012,0.00574816602140408,1,""
fts,AFG,FY520,2012,0.0,1,""
fts,AFG,FY540,2012,0.0,1,""
fts,AFG,FY550,2012,0.0,1,""
fts,AFG,FY620,2012,12949817.0,1,""
fts,AFG,FY630,2012,513976282.0,1,""
fts,AFG,FY240,2013,16574042.0,1,""
fts,AFG,FY360,2013,0.0339198992184921,1,""
fts,AFG,FY370,2013,0.0337883933126591,1,""
fts,AFG,FY380,2013,9102164.0,1,""
fts,AFG,FY500,2013,0.0863026679398372,1,""
fts,AFG,FY510,2013,0.0185559742896951,1,""
fts,AFG,FY520,2013,0.0,1,""
fts,AFG,FY540,2013,0.0,1,""
fts,AFG,FY550,2013,0.0,1,""
fts,AFG,FY620,2013,25676206.0,1,""
fts,AFG,FY630,2013,490524715.0,1,""
fts,AFG,FY240,2014,3991021.0,1,""
fts,AFG,FY360,2014,0.0107463286805843,1,""
fts,AFG,FY370,2014,0.00952199556996438,1,""
fts,AFG,FY380,2014,4656208.0,1,""
fts,AFG,FY500,2014,0.0633340928732306,1,""
fts,AFG,FY510,2014,0.0111090349935099,1,""
fts,AFG,FY520,2014,17691782.0,1,""
fts,AFG,FY540,2014,0.0711656488013855,1,""
fts,AFG,FY550,2014,0.0422100183959883,1,""
fts,AFG,FY620,2014,26339011.0,1,""
fts,AFG,FY630,2014,419137036.0,1,""
fts,AFG,FY240,2015,0.0,1,""
fts,AFG,FY360,2015,0.0,1,""
fts,AFG,FY370,2015,0.0,1,""
fts,AFG,FY380,2015,0.0,1,""
fts,AFG,FY500,2015,0.0,1,""
fts,AFG,FY510,2015,0.0,1,""
fts,AFG,FY520,2015,0.0,1,""
fts,AFG,FY540,2015,0.0,1,""
fts,AFG,FY550,2015,0.0,1,""
fts,AFG,FY620,2015,0.0,1,""
fts,AFG,FY630,2015,0.0,1,""
fts,ALA,FY010,1999,0.0,1,""
fts,ALA,FY020,1999,0.0,1,""
fts,ALA,FY040,1999,0.0,1,""
fts,ALA,FA010,1999,0.0,1,""
fts,ALA,FA140,1999,0.0,1,""
fts,ALA,FY010,2000,0.0,1,""
fts,ALA,FY020,2000,0.0,1,""
fts,ALA,FY040,2000,0.0,1,""
fts,ALA,FA010,2000,0.0,1,""
fts,ALA,FA140,2000,0.0,1,""
fts,ALA,FY010,2001,0.0,1,""
fts,ALA,FY020,2001,0.0,1,""
fts,ALA,FY040,2001,0.0,1,""
fts,ALA,FA010,2001,0.0,1,""
fts,ALA,FA140,2001,0.0,1,""
fts,ALA,FY010,2002,0.0,1,""
fts,ALA,FY020,2002,0.0,1,""
fts,ALA,FY040,2002,0.0,1,""
fts,ALA,FA010,2002,0.0,1,""
fts,ALA,FA140,2002,0.0,1,""
fts,ALA,FY010,2003,0.0,1,""
fts,ALA,FY020,2003,0.0,1,""
fts,ALA,FY040,2003,0.0,1,""
fts,ALA,FA010,2003,0.0,1,""
fts,ALA,FA140,2003,0.0,1,""
fts,ALA,FY010,2004,0.0,1,""
fts,ALA,FY020,2004,0.0,1,""
fts,ALA,FY040,2004,0.0,1,""
fts,ALA,FA010,2004,0.0,1,""
fts,ALA,FA140,2004,0.0,1,""
fts,ALA,FY010,2005,0.0,1,""
fts,ALA,FY020,2005,0.0,1,""
fts,ALA,FY040,2005,0.0,1,""
fts,ALA,FA010,2005,0.0,1,""
fts,ALA,FA140,2005,0.0,1,""
fts,ALA,FY010,2006,0.0,1,""
fts,ALA,FY020,2006,0.0,1,""
fts,ALA,FY040,2006,0.0,1,""
fts,ALA,FA010,2006,0.0,1,""
fts,ALA,FA140,2006,0.0,1,""
fts,ALA,FY010,2007,0.0,1,""
fts,ALA,FY020,2007,0.0,1,""
fts,ALA,FY040,2007,0.0,1,""
fts,ALA,FA010,2007,0.0,1,""
fts,ALA,FA140,2007,0.0,1,""
fts,ALA,FY010,2008,0.0,1,""
fts,ALA,FY020,2008,0.0,1,""
fts,ALA,FY040,2008,0.0,1,""
fts,ALA,FA010,2008,0.0,1,""
fts,ALA,FA140,2008,0.0,1,""
fts,ALA,FY010,2009,0.0,1,""
fts,ALA,FY020,2009,0.0,1,""
fts,ALA,FY040,2009,0.0,1,""
fts,ALA,FA010,2009,0.0,1,""
fts,ALA,FA140,2009,0.0,1,""
fts,ALA,FY010,2010,0.0,1,""
fts,ALA,FY020,2010,0.0,1,""
fts,ALA,FY040,2010,0.0,1,""
fts,ALA,FA010,2010,0.0,1,""
fts,ALA,FA140,2010,0.0,1,""
fts,ALA,FY010,2011,0.0,1,""
fts,ALA,FY020,2011,0.0,1,""
fts,ALA,FY040,2011,0.0,1,""
fts,ALA,FA010,2011,0.0,1,""
fts,ALA,FA140,2011,0.0,1,""
fts,ALA,FY010,2012,0.0,1,""
fts,ALA,FY020,2012,0.0,1,""
fts,ALA,FY040,2012,0.0,1,""
fts,ALA,FA010,2012,0.0,1,""
fts,ALA,FA140,2012,0.0,1,""
fts,ALA,FY010,2013,0.0,1,""
fts,ALA,FY020,2013,0.0,1,""
fts,ALA,FY040,2013,0.0,1,""
fts,ALA,FA010,2013,0.0,1,""
fts,ALA,FA140,2013,0.0,1,""
fts,ALA,FY010,2014,0.0,1,""
fts,ALA,FY020,2014,0.0,1,""
