Indicator,Country,Date,value
Proportion of probable Ebola deaths that are from the last 21 days,Liberia,2014-08-29,8
Proportion of suspected Ebola deaths that are from the last 21 days,Liberia,2014-08-29,8
"Proportion of confirmed, probable and suspected Ebola deaths that are from the last 21 days",Liberia,2014-08-29,8
Proportion of confirmed Ebola deaths that are from the last 21 days,Sierra Leone,2014-08-29,9
Proportion of probable Ebola deaths that are from the last 21 days,Sierra Leone,2014-08-29,6
Proportion of suspected Ebola deaths that are from the last 21 days,Sierra Leone,2014-08-29,25
"Proportion of confirmed, probable and suspected Ebola deaths that are from the last 21 days",Sierra Leone,2014-08-29,9
Proportion of confirmed Ebola deaths that are from the last 21 days,Nigeria,2014-08-29,67
Proportion of probable Ebola deaths that are from the last 21 days,Nigeria,2014-08-29,0
"Proportion of confirmed, probable and suspected Ebola deaths that are from the last 21 days",Nigeria,2014-08-29,57
Case fatality rate (CFR) of confirmed Ebola cases,Guinea,2014-08-29,60
Case fatality rate (CFR) of probable Ebola cases,Guinea,2014-08-29,100
Case fatality rate (CFR) of suspected Ebola cases,Guinea,2014-08-29,8
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Guinea,2014-08-29,66
Case fatality rate (CFR) of confirmed Ebola cases,Liberia,2014-08-29,70
Case fatality rate (CFR) of probable Ebola cases,Liberia,2014-08-29,45
Case fatality rate (CFR) of suspected Ebola cases,Liberia,2014-08-29,44
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Liberia,2014-08-29,50
Case fatality rate (CFR) of confirmed Ebola cases,Sierra Leone,2014-08-29,41
Case fatality rate (CFR) of probable Ebola cases,Sierra Leone,2014-08-29,92
Case fatality rate (CFR) of suspected Ebola cases,Sierra Leone,2014-08-29,15
"Case fatality rate (CFR) of confirmed, probable and suspected Ebola cases",Sierra Leone,2014-08-29,41
Case fatality rate (CFR) of confirmed Ebola cases,Nigeria,2014-08-29,40
Case fatality rate (CFR) of probable Ebola cases,Nigeria,2014-08-29,100
