Country;Case def;Total cases;Date;;;;;
Nigeria;Probable;;29-10-14;;;;;
Nigeria;Suspected;;29-10-14;;;;;
Nigeria;All;11;29-10-14;;;;;
Sierra Leone;Confirmed;;29-10-14;;;;;
Sierra Leone;Probable;;29-10-14;;;;;
Sierra Leone;Suspected;;29-10-14;;;;;
Sierra Leone;All;127;29-10-14;;;;;
Spain;Confirmed;;29-10-14;;;;;
Spain;Probable;;29-10-14;;;;;
Spain;Suspected;;29-10-14;;;;;
Spain;All;1;29-10-14;;;;;
USA;Confirmed;;29-10-14;;;;;
USA;Probable;;29-10-14;;;;;
USA;Suspected;;29-10-14;;;;;
USA;All;3;29-10-14;;;;;
Guinea;Confirmed;;02-11-14;;;;;
Guinea;Probable;;02-11-14;;;;;
Guinea;Suspected;;02-11-14;;;;;
Guinea;All;88;02-11-14;;;;;
Liberia;Confirmed;;02-11-14;;;;;
Liberia;Probable;;02-11-14;;;;;
Liberia;Suspected;;02-11-14;;;;;
Liberia;All;315;02-11-14;;;;;
Nigeria;Confirmed;;02-11-14;;;;;
Nigeria;Probable;;02-11-14;;;;;
Nigeria;Suspected;;02-11-14;;;;;
Nigeria;All;11;02-11-14;;;;;
Sierra Leone;Confirmed;;02-11-14;;;;;
Sierra Leone;Probable;;02-11-14;;;;;
Sierra Leone;Suspected;;02-11-14;;;;;
Sierra Leone;All;128;02-11-14;;;;;
Spain;Confirmed;;02-11-14;;;;;
Spain;Probable;;02-11-14;;;;;
Spain;Suspected;;02-11-14;;;;;
Spain;All;1;02-11-14;;;;;
USA;Confirmed;;02-11-14;;;;;
USA;Probable;;02-11-14;;;;;
USA;Suspected;;02-11-14;;;;;
USA;All;3;02-11-14;;;;;
Guinea;Confirmed;;04-11-14;;;;;
Guinea;Probable;;04-11-14;;;;;
Guinea;Suspected;;04-11-14;;;;;
Guinea;All;88;04-11-14;;;;;
Liberia;Confirmed;;04-11-14;;;;;
Liberia;Probable;;04-11-14;;;;;
Liberia;Suspected;;04-11-14;;;;;
Liberia;All;318;04-11-14;;;;;
Nigeria;Confirmed;;04-11-14;;;;;
Nigeria;Probable;;04-11-14;;;;;
Nigeria;Suspected;;04-11-14;;;;;
Nigeria;All;11;04-11-14;;;;;
Sierra Leone;Confirmed;;04-11-14;;;;;
Sierra Leone;Probable;;04-11-14;;;;;
Sierra Leone;Suspected;;04-11-14;;;;;
Sierra Leone;All;128;04-11-14;;;;;
Spain;Confirmed;;04-11-14;;;;;
Spain;Probable;;04-11-14;;;;;
Spain;Suspected;;04-11-14;;;;;
Spain;All;1;04-11-14;;;;;
USA;Confirmed;;04-11-14;;;;;
USA;Probable;;04-11-14;;;;;
USA;Suspected;;04-11-14;;;;;
USA;All;3;04-11-14;;;;;
Guinea;Confirmed;;10-11-14;;;;;
Guinea;Probable;;10-11-14;;;;;
Guinea;Suspected;;10-11-14;;;;;
Guinea;All;92;10-11-14;;;;;
Liberia;Confirmed;;10-11-14;;;;;
Liberia;Probable;;10-11-14;;;;;
Liberia;Suspected;;10-11-14;;;;;
Liberia;All;329;10-11-14;;;;;
Nigeria;Confirmed;;10-11-14;;;;;
Nigeria;Probable;;10-11-14;;;;;
Nigeria;Suspected;;10-11-14;;;;;
Nigeria;All;;10-11-14;;;;;
Sierra Leone;Confirmed;;10-11-14;;;;;
Sierra Leone;Probable;;10-11-14;;;;;
Sierra Leone;Suspected;;10-11-14;;;;;
Sierra Leone;All;128;10-11-14;;;;;
Guinea;Confirmed;;14-11-14;;;;;
Guinea;Probable;;14-11-14;;;;;
Guinea;Suspected;;14-11-14;;;;;
Guinea;All;93;14-11-14;;;;;
Liberia;Confirmed;;14-11-14;;;;;
Liberia;Probable;;14-11-14;;;;;
Liberia;Suspected;;14-11-14;;;;;
Liberia;All;332;14-11-14;;;;;
Nigeria;Confirmed;;14-11-14;;;;;
Nigeria;Probable;;14-11-14;;;;;
Nigeria;Suspected;;14-11-14;;;;;
Nigeria;All;11;14-11-14;;;;;
Sierra Leone;Confirmed;;14-11-14;;;;;
Sierra Leone;Probable;;14-11-14;;;;;
Sierra Leone;Suspected;;14-11-14;;;;;
Sierra Leone;All;128;14-11-14;;;;;
Mali;Confirmed;;14-11-14;;;;;
Mali;Probable;;14-11-14;;;;;
Mali;Suspected;;14-11-14;;;;;
Mali;All;2;14-11-14;;;;;
Spain;Confirmed;;14-11-14;;;;;
Spain;Probable;;14-11-14;;;;;
Spain;Suspected;;14-11-14;;;;;
Spain;All;1;14-11-14;;;;;
USA;Confirmed;;14-11-14;;;;;
USA;Probable;;14-11-14;;;;;
USA;Suspected;;14-11-14;;;;;
USA;All;3;14-11-14;;;;;
Guinea;Confirmed;;16-11-14;;;;;
Guinea;Probable;;16-11-14;;;;;
Guinea;Suspected;;16-11-14;;;;;
Guinea;All;95;16-11-14;;;;;
Liberia;Confirmed;;16-11-14;;;;;
Liberia;Probable;;16-11-14;;;;;
Liberia;Suspected;;16-11-14;;;;;
Liberia;All;341;16-11-14;;;;;
Nigeria;Confirmed;;16-11-14;;;;;
Nigeria;Probable;;16-11-14;;;;;
Nigeria;Suspected;;16-11-14;;;;;
Nigeria;All;;16-11-14;;;;;
Sierra Leone;Confirmed;;16-11-14;;;;;
Sierra Leone;Probable;;16-11-14;;;;;
Sierra Leone;Suspected;;16-11-14;;;;;
Sierra Leone;All;132;16-11-14;;;;;
Guinea;Confirmed;;18-11-14;;;;;
Guinea;Probable;;18-11-14;;;;;
Guinea;Suspected;;18-11-14;;;;;
Guinea;All;94;18-11-14;;;;;
Liberia;Confirmed;;18-11-14;;;;;
Liberia;Probable;;18-11-14;;;;;
Liberia;Suspected;;18-11-14;;;;;
Liberia;All;341;18-11-14;;;;;
Nigeria;Confirmed;;18-11-14;;;;;
Nigeria;Probable;;18-11-14;;;;;
Nigeria;Suspected;;18-11-14;;;;;
Nigeria;All;11;18-11-14;;;;;
Sierra Leone;Confirmed;;18-11-14;;;;;
Sierra Leone;Probable;;18-11-14;;;;;
Sierra Leone;Suspected;;18-11-14;;;;;
Sierra Leone;All;136;18-11-14;;;;;
Mali;Confirmed;;18-11-14;;;;;
Mali;Probable;;18-11-14;;;;;
Mali;Suspected;;18-11-14;;;;;
Mali;All;2;18-11-14;;;;;
Spain;Confirmed;;18-11-14;;;;;
Spain;Probable;;18-11-14;;;;;
Spain;Suspected;;18-11-14;;;;;
Spain;All;1;18-11-14;;;;;
USA;Confirmed;;18-11-14;;;;;
USA;Probable;;18-11-14;;;;;
USA;Suspected;;18-11-14;;;;;
USA;All;3;18-11-14;;;;;
